13.00,1,3,0.05
21.00,4,9,0.03
12.00,2,3,0.03
21.00,1,10,0.03
43.00,2,7,0.03
15.00,6,9,0.03
14.00,8,9,0.03
21.00,7,10,0.03
7.00,5,8,0.03
29.00,1,10,0.03
163.22,662,946,62.50
191.12,166,406,58.36
249.24,28,286,65.38
271.88,378,991,64.19
217.38,271,889,61.82
136.41,50,229,63.00
318.37,362,686,62.96
306.25,540,925,72.27
152.40,13,106,91.34
356.81,11,920,91.51
439.40,3996,5943,5907.31
527.28,45,5762,6619.42
742.51,6839,8730,6014.57
785.22,5135,9969,6005.07
711.15,6559,8960,7087.78
925.67,4020,8689,6609.60
545.26,797,2359,6265.30
711.90,5,1701,5925.91
721.30,8293,9990,6917.49
1228.66,571,8383,7962.08
328.59,980,1503,339.01
360.87,61,1305,332.27
256.65,579,1513,354.42
149.26,1654,1805,321.37
155.43,3,300,324.75
306.05,1530,1910,325.59
259.39,597,1370,348.94
115.03,962,1009,549.63
496.09,1137,1952,438.45
470.87,416,1828,336.64
