13.00,1,3,0.02
21.00,4,9,0.01
12.00,2,4,0.01
21.00,3,10,0.01
43.00,2,7,0.01
15.00,6,9,0.01
14.00,8,9,0.01
21.00,8,10,0.01
7.00,5,8,0.01
29.00,1,10,0.01
163.22,662,946,0.69
191.12,166,406,0.68
249.24,28,286,0.68
271.88,378,991,0.69
217.38,271,889,0.74
136.41,50,229,0.68
318.37,362,686,0.67
306.25,542,925,0.68
152.40,13,106,0.67
356.81,11,920,0.67
439.40,3996,5943,7.12
527.28,45,5762,7.21
742.51,6839,8730,8.59
785.22,5135,9969,8.34
711.15,6559,8960,6.89
925.67,4020,8689,6.83
545.26,797,2359,6.78
711.90,5,1701,6.71
721.30,8293,9990,7.28
1228.66,571,8383,6.76
328.59,980,1503,1.36
360.87,61,1305,1.34
256.65,579,1513,1.35
149.26,1654,1805,1.35
155.43,3,300,1.36
306.05,1530,1910,1.35
259.39,597,1370,1.36
115.03,962,1009,1.35
496.09,1137,1952,1.35
470.87,416,1828,1.35
341.81,115,426,2.02
215.63,346,605,2.03
760.13,448,2422,2.02
347.54,655,1541,2.03
327.94,809,1669,2.01
288.89,68,973,2.03
295.29,1672,2430,2.03
544.29,18,2758,2.03
196.97,12,259,2.02
651.78,18,2783,2.08
297.71,1160,2578,2.71
387.38,161,1052,2.74
549.03,1048,3002,2.79
465.77,1178,3645,2.73
375.78,389,2117,2.69
403.36,2766,3752,2.71
725.74,5,2752,2.69
257.88,3601,3924,2.73
588.19,1491,2444,2.72
1096.07,259,3282,2.70
829.77,169,4992,3.39
331.44,4347,4987,3.38
1294.67,79,3413,3.43
582.18,277,3061,3.39
534.80,1265,3566,3.40
549.82,3340,4965,3.86
254.50,4163,4821,3.36
611.11,2628,4755,3.38
423.66,156,1216,5.47
229.50,1216,1761,3.87
