13.00,1,3,0.02
21.00,4,9,0.01
12.00,2,4,0.01
21.00,3,10,0.01
43.00,2,7,0.01
15.00,6,9,0.01
14.00,8,9,0.03
21.00,8,10,0.01
7.00,5,8,0.01
29.00,1,10,0.01
163.22,662,946,0.68
191.12,166,406,0.67
249.24,28,286,2.21
271.88,378,991,0.79
217.38,271,889,0.81
136.41,50,229,0.91
318.37,362,686,0.87
306.25,542,925,0.95
152.40,13,106,0.99
356.81,11,920,1.32
439.40,3996,5943,6.75
527.28,45,5762,7.71
742.51,6839,8730,6.88
785.22,5135,9969,7.54
711.15,6559,8960,6.92
925.67,4020,8689,8.54
545.26,797,2359,7.14
711.90,5,1701,6.70
721.30,8293,9990,7.66
1228.66,571,8383,8.78
