13.00,1,3,0.03
21.00,4,9,0.01
12.00,2,4,0.01
21.00,3,10,0.01
43.00,2,7,0.01
15.00,6,9,0.01
14.00,8,9,0.01
21.00,8,10,0.01
7.00,5,8,0.01
29.00,1,10,0.01
163.22,662,946,0.72
191.12,166,406,0.73
249.24,28,286,1.40
271.88,378,991,0.87
217.38,271,889,0.93
136.41,50,229,0.72
318.37,362,686,0.68
306.25,542,925,0.68
152.40,13,106,0.68
356.81,11,920,0.70
439.40,3996,5943,8.13
527.28,45,5762,6.75
742.51,6839,8730,7.52
785.22,5135,9969,8.05
711.15,6559,8960,7.08
925.67,4020,8689,7.06
545.26,797,2359,8.92
711.90,5,1701,8.54
721.30,8293,9990,7.22
1228.66,571,8383,7.32
328.59,980,1503,1.37
360.87,61,1305,1.36
256.65,579,1513,1.35
149.26,1654,1805,1.35
155.43,3,300,1.35
306.05,1530,1910,1.35
259.39,597,1370,1.34
115.03,962,1009,1.35
496.09,1137,1952,1.36
470.87,416,1828,1.35
341.81,115,426,2.04
215.63,346,605,2.02
760.13,448,2422,2.48
347.54,655,1541,2.04
327.94,809,1669,2.02
288.89,68,973,2.01
295.29,1672,2430,2.04
544.29,18,2758,2.02
196.97,12,259,2.04
651.78,18,2783,3.71
297.71,1160,2578,3.16
387.38,161,1052,3.08
549.03,1048,3002,3.13
465.77,1178,3645,2.88
375.78,389,2117,2.74
403.36,2766,3752,2.69
725.74,5,2752,2.72
257.88,3601,3924,2.69
588.19,1491,2444,2.71
1096.07,259,3282,2.71
829.77,169,4992,3.37
331.44,4347,4987,3.78
1294.67,79,3413,3.84
582.18,277,3061,3.62
534.80,1265,3566,3.39
549.82,3340,4965,3.37
254.50,4163,4821,3.38
611.11,2628,4755,3.39
423.66,156,1216,3.45
229.50,1216,1761,3.39
428.19,86,5917,6.15
338.56,3506,4437,4.64
516.62,4538,5925,4.37
460.58,151,1212,4.06
762.32,2870,5472,4.09
421.90,4680,5953,4.03
1330.15,118,5684,4.03
838.85,608,5572,4.06
608.38,2260,4756,4.05
648.63,534,3133,4.03
311.63,4895,6536,5.73
264.64,3170,3451,5.38
493.25,3084,3864,5.06
607.31,374,2853,4.69
562.60,5,5244,4.74
343.71,144,936,5.10
823.87,377,5748,5.10
775.20,5,3509,4.90
866.73,549,6992,8.62
641.86,4215,6053,5.22
364.16,3,947,5.49
425.95,5576,7014,6.09
825.46,1001,5673,7.21
733.19,1790,3174,5.95
905.81,101,5440,5.66
487.84,974,1683,5.42
659.44,5347,7807,7.80
894.05,361,7965,6.23
350.40,4425,6776,6.35
1049.96,172,4949,6.38
