13.00,1,3,0.02
21.00,4,9,0.01
12.00,2,4,0.01
21.00,3,10,0.01
43.00,2,7,0.01
15.00,6,9,0.01
14.00,8,9,0.01
21.00,8,10,0.01
7.00,5,8,0.01
29.00,1,10,0.01
163.22,662,946,0.66
191.12,166,406,0.76
249.24,28,286,0.71
271.88,378,991,0.70
217.38,271,889,0.68
136.41,50,229,0.66
318.37,362,686,0.73
306.25,542,925,0.66
152.40,13,106,0.65
356.81,11,920,0.66
439.40,3996,5943,7.28
527.28,45,5762,6.70
742.51,6839,8730,6.63
785.22,5135,9969,8.07
711.15,6559,8960,7.09
925.67,4020,8689,8.18
545.26,797,2359,6.70
711.90,5,1701,7.03
721.30,8293,9990,7.00
1228.66,571,8383,7.01
328.59,980,1503,1.47
360.87,61,1305,1.52
256.65,579,1513,1.32
149.26,1654,1805,1.33
155.43,3,300,1.31
306.05,1530,1910,1.51
259.39,597,1370,1.45
115.03,962,1009,1.40
496.09,1137,1952,1.40
470.87,416,1828,1.61
341.81,115,426,2.24
215.63,346,605,1.99
760.13,448,2422,2.32
347.54,655,1541,2.15
327.94,809,1669,2.18
288.89,68,973,1.96
295.29,1672,2430,1.97
544.29,18,2758,2.24
196.97,12,259,2.22
651.78,18,2783,2.11
